,teacher_course,assignment,report,test,in_group,attend
217,翁孟廷 : 電腦入門與程式思維,2,0,6.5,0,1.5
218,周子聰 : 生物科技,3,0,7,0,0
219,廖恩慈 : 生物科技,4.5,0,4,0,1.5
220,劉昭華 : 生物科技,4.5,3.5,2,1,0
221,費約瑟 : 機械簡史(全英語授課),3,0,6,0,1
222,秦一男 : 地球生態環境,0,0,9,0,1
223,林琦峯 : 地球生態環境,4,2,0,1,3
224,李英豪 : 地球生態環境,1,0,7,0,2
225,范素玲 : 地球生態環境(全英語授課)(遠距非同步課程),3,0,7,0,0
226,張保興 : 地球生態環境,5,0,5,1,0
227,黃富國 : 地球生態環境,7,0,2,1,1
228,吳朝賢 : 地球生態環境,5,0,2.5,0,2.5
229,唐建堯 : 能源與材料科技,3.5,3.5,0,1,3
230,王文竹 : 能源與材料科技,5,0,3,0,2
231,趙思涵 : 能源與材料科技,7,3,1,1,0
232,余宣賦 : 能源與材料科技,2,0,5,0,3
233,楊維斌 : 電子與電腦科技,1,4,4,1,1
234,余繁 : 電子與電腦科技,0,0,1,0,3
235,楊淳良 : 電子與電腦科技,0,4,3,1,3
236,李世鳴 : 電子與電腦科技,2,0,7,0,1
237,楊龍杰 : 海洋科技,3,0,9,0,1
238,高思懷 : 科技永續,0,4.4,4,0,1.6
239,李安瑞 : 智慧綠生活,0,7,0,1,3
240,陳惇凱 : 科技進化(全英語授課),8,0,2,0,0
241,陳惇凱 : 科技進化(全英語授課),8,0,2,0,0
242,蕭富元 : 智慧機器人,0,0,7,0,3
243,蔡秉均 : 智慧機器人,0,3,6,1,1
244,周厚文 : 科技進化,1.5,1.5,6,1,1
245,鄒昌達 : 科技進化,2,0,6,0,2
246,莊程豪 : 物理與生活(遠距非同步課程),2,2,6,1,0
247,洪振湧 : 物理與生活,0,3,5,1,2
248,徐麗婷 : 宇宙的探索,4.8,1.7,2.5,0,1
249,秦一男 : 宇宙的探索,1.5,0,8,0,0.5
250,秦一男 : 宇宙的探索,1.5,0,8,0,0.5
251,曹慶堂 : 宇宙的探索(全英語授課),0,0,10,0,0
252,楊文彬 : 化學與生活：化學、環境與社會,0,3,5,0,2
253,蔡旻燁 : 化學與生活：化學、環境與社會,2,2,4,1,2
254,蔡旻燁 : 化學與生活：化學、環境與社會,2,2,4,1,2
255,鄭鈞霆 : 化學與生活：化學、環境與社會,5,4,0,1,1
256,陳新和 : 生命科學：基因科技與健康,0,5,4,1,1
257,林震安 : 光、攝影和視覺,1.5,3.5,3.5,1,1.5
258,李泳霆 : 生活中的化學,2,0,6,0,2
259,陳志欣 : 生活中的化學,5,0,0,0,5
260,周文祺 : 生活中的化學,8,0,0,0,2
261,伍志祥 : 數學漫遊,6,0,0,0,4
262,王千真 : 數學漫遊,6,0,0,0,4
263,徐祥峻 : 數學漫遊,6,0,0,0,4
264,董崇禮 : 科技的原理(全英語授課),0,9,0,0,1
265,朱惠芳 : 性別中的科學,2,5,1,1,2
266,陳旭 : 科學之旅(雙語授課(中文/英文)),7.5,0,0,0,2.5
267,吳俊毅 : 科學之旅(全英語授課),5.5,0,3,0,1.5
268,姜　杰 : 統計與生活,7,0,0,0,3
269,王芸馨 : 生命科學：基因科技與健康,3,0,6,0,1
270,潘志實 : 數學漫遊,4,0,0,0,6
271,鄧有光 : 資訊概論(全英語授課),0,0,1,0,1
272,賴盛維 : 網路與資訊科技,1,0,1,0,3
273,賴盛維 : 網路與資訊科技,0,0,1,0,3
274,陳智揚 : OFFICE證照實務,0,0,1,0,2
275,陳智揚 : OFFICE證照實務,0,0,1,0,2
276,劉文琇 : OFFICE證照實務,0,0,1,0,2
277,林國賡 : 網路與雲端應用,1,0,1,0,1
278,陳德展 : 多媒體實務與應用,1,0,1,0,3
279,張世豪 : 智慧型手機程式設計,0,0,1,0,1
280,王聲葦 : iOS 應用程式開發,0,0,1,0,1
281,黃心嘉 : Python程式語言,1,0,1,0,2
282,黃仁俊 : Python程式語言,0,0,1,0,2
283,張淑雅 : Python程式語言,1,0,1,0,2
284,鄭國祥 : Python程式語言,1,0,1,0,0
285,張漢琦 : Python程式語言,1,0,1,0,1
286,吳乾埼 : 電腦入門與程式思維,1,0,0,0,1
287,張嘉玲 : 電腦入門與程式思維,0,0,1,0,1
288,歐陽崇榮 : 電腦入門與程式思維,1,1,1,1,1.5
289,薛智誠 : 電腦入門與程式思維,1,0,1,0,2
290,徐郁輝 : 電腦入門與程式思維,0,0,1,0,1
291,李宜勳 : 電腦入門與程式思維,1,0,1,0,2.5
292,洪復一 : 電腦入門與程式思維(全英語授課),1,0,1,0,0.5
293,洪復一 : 電腦入門與程式思維(全英語授課),1,0,1,0,0.5
294,鍾興臺 : 網頁程式設計,1,0,1,0,2
295,張玄菩 : 網頁程式設計,1,0,1,0,1.5
296,張淑雅 : 網頁程式設計,1,0,1,0,2
297,翁孟廷 : 電腦入門與程式思維,0,0,1,0,1.5
298,陳銘凱 : 生物科技,1,1,1,0,4
299,周子聰 : 生物科技,0,0,1,0,0
300,楊龍杰 : 機械簡史,0,1,1,0,1
301,秦一男 : 地球生態環境,0,0,1,0,1
302,李明憲 : 地球生態環境(全英語授課),0,0,1,0,0
303,朱惠芳 : 地球生態環境,0,1,1,0,2
304,李英豪 : 地球生態環境,0,1,1,0,2
305,范素玲 : 地球生態環境,0,1,0,0,0
306,黃富國 : 地球生態環境,1,0,1,0,1
307,唐建堯 : 能源與材料科技,0,1,0,1,3
308,余宣賦 : 能源與材料科技,0,0,1,0,3
309,黃招財 : 能源與材料科技,1,0,1,0,1
310,歐陽寬 : 能源與材料科技,1,1,1,1,2
311,汪愷悌 : 能源與材料科技,1,1,1,1,1
312,衛信文 : 電子與電腦科技,0,1,1,1,1
313,楊淳良 : 電子與電腦科技,1,1,1,1,1
314,楊智旭 : 電子與電腦科技,0,1,1,0,1
315,楊龍杰 : 海洋科技,0,0,1,0,1
316,牛仰堯 : 科技永續,0,0,1,0,0
317,王文安 : 智慧綠生活,0,0,1,0,2
318,李明憲 : 科技進化,0,0,1,0,0
319,李長欣 : 科技進化,0,0,1,0,3
320,謝仁傑 : 科技進化,1,0,1,0,4
321,劉寅春 : 智慧機器人(全英語授課),1,1,1,1,1
322,潘俊宏 : 能源與材料科技,0,0,1,0,4
323,何金新 : 電子與電腦科技,0,0,1,0,3
324,莊程豪 : 物理與生活,1,0,1,0,0
325,洪振湧 : 物理與生活,0,1,1,1,3
326,王尚勇 : 宇宙的探索,0,0,1,0,0
327,秦一男 : 宇宙的探索,1,1,1,0,0.5
328,秦一男 : 宇宙的探索,1,1,1,0,0.5
329,郭智維 : 化學與生活：化學、環境與社會,0,0,1,0,3
330,李世元 : 化學與生活：化學、環境與社會,0,0,1,0,3
331,黃俊中 : 化學與生活：化學、環境與社會,0,0,1,0,3
332,謝忠宏 : 化學與生活：化學、醫藥與社會,1,0,1,0,0
333,陳銘凱 : 生命科學：人體的奧秘,0,0,1,0,3
334,王芸馨 : 生命科學：基因科技與健康,0,1,1,0,1
335,林震安 : 光、攝影和視覺,1,1,1,0,1.5
336,楊淑君 : 光、攝影和視覺,0,1,1,0,0
337,丁北辰 : 生活中的化學,0,0,1,0,3
338,高憲章 : 生活中的化學,1,1,1,0,1
339,王千真 : 數學漫遊,1,0,0,0,4
340,徐祥峻 : 數學漫遊,1,0,0,0,4
341,姜　杰 : 數學漫遊,1,0,0,0,4
342,李明憲 : 科技的原理,0,0,0,1,0
343,鄭秋萍 : 生命科學：ＤＮＡ科技時代,1,0,1,0,2
344,李明憲 : 性別與科學,0,0,1,0,1
345,洪振湧 : 科學之旅,0,1,1,1,2
346,吳俊毅 : 科學之旅(全英語授課),0,1,1,0,1.5
347,謝忠宏 : 化學與生活：化學、食品與社會,1,0,1,0,2
348,黃家琪 : 化學與生活：化學、食品與社會(全英語授課),0,0,1,0,4
349,蔡志群 : 統計與生活,0,0,1,0,4
350,周厚文 : 半導體與生活,1,0,1,0,1
